Position,"Track Name",Artist,URL
1,"The Git Up","Blanco Brown",https://open.spotify.com/track/5dW1VZPcFqB4n0P08rGDgm
2,"Cigarettes On Patios",BabyJake,https://open.spotify.com/track/0LJDFZohBgWOMvXQw0cc9W
3,"Bekhayali (From ""Kabir Singh"")","Sachet Tandon",https://open.spotify.com/track/1feANd8EfcDP5UqSvbheM3
4,Ransom,"Lil Tecca",https://open.spotify.com/track/1kBbgxAUc4HQv7cgIayIDH
5,"Speechless (Full)","Naomi Scott",https://open.spotify.com/track/0XPsOSYzDJZJArevQNm2AR
6,Uno,Ambjaay,https://open.spotify.com/track/3AEgic4yp82NxMWUjHtxnO
7,"Baila Conmigo (feat. Kelly Ruíz)",Dayvi,https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG
8,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh",https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU
9,"Otro Trago",Sech,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr
10,Callaita,"Bad Bunny",https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
11,"No Me Conoce - Remix","Jhay Cortez",https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
12,"Hanya Rindu",Andmesh,https://open.spotify.com/track/3VK96nMFmP34P4dq2zrAWu
13,"Mi Morena",Juanfran,https://open.spotify.com/track/6MF2uU7HoQkA1Da2jscqV2
14,"Nails, Hair, Hips, Heels","Todrick Hall",https://open.spotify.com/track/0nzsxcMmkFwfLB8IJ6Ok9g
15,"One Thought Away (feat. Wiz Khalifa)","Asher Angel",https://open.spotify.com/track/0uvoOTER9NSVvUyalNGEQP
16,"Cin Cin",Alfa,https://open.spotify.com/track/4GoLVIAplQyplhitHFabfy
17,Tolong,"Budi Doremi",https://open.spotify.com/track/5X5Vj8FcxyoLzq9qxAa45U
18,"Cha Cha","Freddie Dredd",https://open.spotify.com/track/7jiiuFE5JSVXoMKov2V1fI
19,"Tutuşmuş Beraber","Melike Şahin",https://open.spotify.com/track/0ELKA403grwyEZLPMzJRKs
20,"Yok Yok","Feride Hilal Akın",https://open.spotify.com/track/2CjjjGKJA1ybc5wjCyJYjm
21,"Never Really Over","Katy Perry",https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
22,"Soltera - Remix",Lunay,https://open.spotify.com/track/1c0hsvHLELX6y8qymnpLKL
23,Woah,KRYPTO9095,https://open.spotify.com/track/4EyBZN8AmXr8W1HR4vWumN
24,"NO ONE","LEE HI",https://open.spotify.com/track/0lhZsFfTpITnjK5q8lrDLR
25,"I Don't Care (with Justin Bieber)","Ed Sheeran",https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns
26,"The London (feat. J. Cole & Travis Scott)","Young Thug",https://open.spotify.com/track/7DcvwMAiqKJQD1rrdfxSDx
27,"Truth Hurts",Lizzo,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
28,"Quando a vontade bater (Participação especial de PK Delas)",Pk,https://open.spotify.com/track/26WpOBpHiIMoBuMEIwtOCH
29,"Dance Monkey","Tones and I",https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
30,"Dove e quando","Benji & Fede",https://open.spotify.com/track/5BAJMdCQqax0oBQigQTl5h
31,"Post Malone (feat. RANI)","Sam Feldt",https://open.spotify.com/track/0qc4QlcCxVTGyShurEv1UU
32,Panamera,NDG,https://open.spotify.com/track/0Zvdpp7GLZYT3OVtx4myHl
33,"Spicy - with Diplo & Charli XCX","Herve Pagez",https://open.spotify.com/track/7hzjWGFi2HKUGOXp1LiQ3V
34,"Call You Mine (with Bebe Rexha)","The Chainsmokers",https://open.spotify.com/track/05CwHjIk71RXVU40boRMnR
35,"Una volta ancora (feat. Ana Mena)","Fred De Palma",https://open.spotify.com/track/6gaeewGjNiQhWOUkWRSLTa
36,"Old Town Road - Remix","Lil Nas X",https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
37,JAMBO,"Takagi & Ketra",https://open.spotify.com/track/4H5arInh2BLVz94mIibTrv
38,Cuaderno,Dalex,https://open.spotify.com/track/7anSoGdgtmJTAPZBzcPhO6
39,"A Whole New World - From ""Aladdin""",Gamaliél,https://open.spotify.com/track/47hM29gWsKfIv0piBMVG1R
40,"Wait a Minute!",Willow,https://open.spotify.com/track/0y60itmpH0aPKsFiGxmtnh
41,"Ostia lido",J-AX,https://open.spotify.com/track/2J9TGb5CRT4omfAgnKmXn5
42,"bad guy","Billie Eilish",https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
43,"All Around The World (La La La)",R3HAB,https://open.spotify.com/track/02itaCXOdC54J0ISjqqFAp
44,"A Whole New World","Mena Massoud",https://open.spotify.com/track/5viFjDGTnrApmUY5c8qkfw
45,Easy,DaniLeigh,https://open.spotify.com/track/2kYB66omjIRkqPx8zRPEAH
46,"A Casa É Sua","Casa Worship",https://open.spotify.com/track/3h3fui1QXImL2zRcs9v2Lc
47,"Go Loko (feat. Tyga, Jon Z)",YG,https://open.spotify.com/track/1kK6DwzyXJSp58u5HYWwuD
48,"Todo Mundo Vai Sofrer - Ao Vivo","Marília Mendonça",https://open.spotify.com/track/4E6RdcCWMiHTu7zy1VTNDo
49,Kisahku,"Brisia Jodie",https://open.spotify.com/track/3RDNWxiX2qTMDLwOHYWPN2
50,"La La Land (feat. YG)","Bryce Vine",https://open.spotify.com/track/3TpBefRZ1vFcOH6z57PQRI
